WORK ORDER;PN;Descrição;SN;Operator;Exchange Order Number;R.S. In;Week0;Month0;Year0;R.S. Out;SegVoo;Week 1;Month1;Year1;STATUS;TAIL;DATE OF REMOVAL;Reason for removal;Work done;QUANTITY BGA SOLDER;Item used on repair;TAT;REASON FOR DELAY;WO FINISHED?(Y/N);RETURN TO AZUL;MONTH;YEAR;MONTH.SEGVOO;YEAR.SEGVOO;DUAL
7727;LV10-080408-102;DSB;CBHB002153;AZUL;842937;06/08/2019;32;8;2019;29/08/2019;29/08/2019;35;8;2019;SEGVOO003 ISSUED AS 7727/19 REPLACED U42 FLASH MEMORY;PR-AXE;13/07/2019;SEAT 19C LIVE TV INOP;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;27,00;OTHER;Y;02/09/2019;9;2019;8;YEAR.SEGVOO;NÃO
7728;LV10-080408-102;DSB;CBHB002775;AZUL;842937;06/08/2019;32;8;2019;30/12/2019;30/12/2019;53;12;2019;SEGVOO003 ISSUED AS 7728/19 , TESTED - NO FAULTS FOUND;PR-AYX;18/07/2019;SEATS 2AB, 3AB, 4AB INOP;TESTED - NO FAULTS FOUND;0;-;156,00;REPAIR SHOP PROCESS;Y;09/01/2020;1;2020;12;YEAR.SEGVOO;NÃO
7729;LV10-080408-102;DSB;CBHB003524;AZUL;842937;06/08/2019;32;8;2019;29/08/2019;29/08/2019;35;8;2019;SEGVOO003 ISSUED AS 7729/19 REPLACED  U68 AND U42 FLASH MEMORIES;PR-AUA;14/07/2019;SEAT 11A INOPERATIVE;REPLACED  U68 AND U42 FLASH MEMORIES;2;RC28F128J3F-75;27,00;OTHER;Y;02/09/2019;9;2019;8;YEAR.SEGVOO;NÃO
7730;LV10-080408-102;DSB;CBHB002508;AZUL;842937;06/08/2019;32;8;2019;29/08/2019;29/08/2019;35;8;2019;SEGVOO003 ISSUED AS 7730/19 REPLACED U68 FLASH MEMORY;PR-AXF;12/07/2019;SEAT 7D INOPERATIVE;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;27,00;OTHER;Y;02/09/2019;9;2019;8;YEAR.SEGVOO;NÃO
7731;LV10-080408-102;DSB;CBHB002382;AZUL;842937;06/08/2019;32;8;2019;29/08/2019;29/08/2019;35;8;2019;SEGVOO003 ISSUED AS 7731/19 REPLACED U42 FLASH MEMORY;PR-AXA;17/07/2019;SEAT 23C BLACK SCREEN;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;27,00;OTHER;Y;02/09/2019;9;2019;8;YEAR.SEGVOO;NÃO
7732;LV10-070702-102;DSCD;CBBA000226;AZUL;842937;06/08/2019;32;8;2019;10/10/2019;10/10/2019;41;10;2019;SEGVOO003 ISSUED AS 7732/19 REPLACED THE BACKBOARD AND POWER SUPPLY;PR-AYE;18/07/2019;LIVE TV INOPERATIVE; REPLACED THE BACKBOARD AND POWER SUPPLY;0;"PN: LV14-070801-101 SN: 2800046127
PN: LV20-091201-101 SN: CCBA002796";76,00;MATERIAL;Y;21/10/2019;10;2019;10;YEAR.SEGVOO;NÃO
7785;LV10-080408-102;DSB;CBHB002494;AZUL;848068;14/08/2019;33;8;2019;09/09/2019;09/09/2019;37;9;2019;SEGVOO003 ISSUED AS 7785/19 REPLACED  U68 AND U42 FLASH MEMORIES;PR-AXG;04/06/2019;SEAT 19A INOPERATIVE;REPLACED  U68 AND U42 FLASH MEMORIES;2;RC28F128J3F-75;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7786;LV10-080408-102;DSB;CBHB002812;AZUL;848068;14/08/2019;33;8;2019;23/09/2020;;39;9;2020;SHORT CIRCUIT ON CONNECTOR J1. ;PR-AYL;12/12/2018;LIVETV NOT WORKING PROPERLY;;;;406,00;;Y;23/09/2020;9;2020;;YEAR.SEGVOO;NÃO
7787;LV10-080408-102;DSB;CBHB001593;AZUL;848068;14/08/2019;33;8;2019;06/09/2019;06/09/2019;36;9;2019;SEGVOO003 ISSUED AS 7787/19 REPLACED U68 FLASH MEMORY;PR-AYV;17/07/2019;SEAT 21A ALL BLACK;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;29,00;;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7788;LV10-080408-102;DSB;CBHB003208;AZUL;848068;14/08/2019;33;8;2019;06/09/2019;06/09/2019;36;9;2019;SEGVOO003 ISSUED AS 7788/19 REPLACED  U68 AND U42 FLASH MEMORIES;PR-AXT;04/06/2019;SEAT 25B INOP;REPLACED  U68 AND U42 FLASH MEMORIES;2;RC28F128J3F-75;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7789;LV10-080408-102;DSB;CBHB004710;AZUL;848068;14/08/2019;33;8;2019;02/09/2019;02/09/2019;36;9;2019;SEGVOO003 ISSUED AS 7789/19 , TESTED - NO FAULTS FOUND;PR-AYW;20/07/2019;RCU 27D INOPERATIVE;TESTED - NO FAULTS FOUND;0;-;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7790;LV10-080408-102;DSB;CBHB001693;AZUL;848068;14/08/2019;33;8;2019;06/09/2019;06/09/2019;36;9;2019;SEGVOO003 ISSUED AS 7790/19 REPLACED U42 FLASH MEMORY;PR-AZH;24/07/2019;SEAT 21C LIVE TV INOPERATIVE;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7791;LV10-080408-102;DSB;CBHB001481;AZUL;848068;14/08/2019;33;8;2019;06/09/2019;06/09/2019;36;9;2019;SEGVOO003 ISSUED AS 7791/19 REPLACED U42 FLASH MEMORY;PR-AXB;26/07/2019;LIVETV SEAT 30C DOESN´T WORK;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7792;LV10-080408-102;DSB;CBHB000402;AZUL;848068;14/08/2019;33;8;2019;02/09/2019;02/09/2019;36;9;2019;SEGVOO003 ISSUED AS 7792/19 PERFORMED ADJUSTMENT ON THE CONNECTOR P2;PR-AXE;05/05/2019;SEATS 16D,16C INOPERATIVE;PERFORMED ADJUSTMENT ON THE CONNECTOR P2;0;-;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
7793;LV10-080408-102;DSB;CBHB001853;AZUL;848068;14/08/2019;33;8;2019;02/09/2019;02/09/2019;36;9;2019;SEGVOO003 ISSUED AS 7793/19 PERFORMED THE CLEANING OF SIM CARDS;PR-AYU;21/10/2017;INOPERATIVE IN ONE SEAT BLACK;PERFORMED THE CLEANING OF SIM CARDS;0;-;29,00;OTHER;Y;12/09/2019;9;2019;9;YEAR.SEGVOO;NÃO
